Time	resampled X
0.000000	1.04882634	
0.020000	0.88463819	
0.040000	0.76554501	
0.060000	0.61797965	
0.080000	0.57427698	
0.100000	0.49512807	
0.120000	0.39771506	
0.140000	0.37301585	
0.160000	0.36754382	
0.180000	0.36561829	
0.200000	0.36775094	
0.220000	0.37643310	
0.240000	0.36977634	
0.260000	0.37245098	
0.280000	0.33672693	
0.300000	0.33289078	
0.320000	0.32887557	
0.340000	0.30779776	
0.360000	0.32188070	
0.380000	0.34530911	
0.400000	0.34141701	
0.420000	0.29864737	
0.440000	0.30612475	
0.460000	0.30782866	
0.480000	0.30957064	
0.500000	0.32199723	
0.520000	0.36064345	
0.540000	0.32579049	
0.560000	0.30895722	
0.580000	0.29109353	
0.600000	0.31845003	
0.620000	0.30969408	
0.640000	0.28585559	
0.660000	0.26868963	
0.680000	0.28738070	
0.700000	0.32338002	
0.720000	0.30866405	
0.740000	0.31614342	
0.760000	0.31212160	
0.780000	0.30639330	
0.800000	0.31404123	
0.820000	0.33726397	
0.840000	0.31889793	
0.860000	0.32077157	
0.880000	0.30988514	
0.900000	0.32372546	
0.920000	0.34530199	
0.940000	0.37681839	
0.960000	0.34903538	
0.980000	0.35858923	
1.000000	0.36784074	
1.020000	0.36847425	
1.040000	0.36465415	
1.060000	0.40697089	
1.080000	0.53433406	
1.100000	0.60078293	
1.120000	0.49232575	
1.140000	0.39818004	
1.160000	0.38459781	
1.180000	0.38469455	
1.200000	0.39877939	
1.220000	0.38835084	
1.240000	0.38676760	
1.260000	0.34799877	
1.280000	0.31950852	
1.300000	0.31165045	
1.320000	0.29418224	
1.340000	0.30067790	
1.360000	0.28331718	
1.380000	0.26827928	
1.400000	0.27963454	
1.420000	0.27664551	
1.440000	0.29391071	
1.460000	0.29756242	
1.480000	0.30499679	
1.500000	0.28421906	
1.520000	0.27468830	
1.540000	0.29791322	
1.560000	0.32581940	
1.580000	0.28295314	
1.600000	0.33740017	
1.620000	0.32978100	
1.640000	0.32860836	
1.660000	0.36196530	
1.680000	0.34233359	
1.700000	0.32406476	
1.720000	0.35733268	
1.740000	0.39206004	
1.760000	0.44341555	
1.780000	0.52453274	
1.800000	0.44602743	
1.820000	0.41210443	
1.840000	0.52226818	
1.860000	0.92553490	
1.880000	2.15404439	
1.900000	6.10458612	
1.920000	19.57934761	
1.940000	25.33896637	
1.960000	17.28793526	
1.980000	12.04677582	
2.000000	11.99477959	
2.020000	12.18924141	
2.040000	10.48779106	
2.060000	8.08239555	
2.080000	7.63800859	
2.100000	5.05585670	
2.120000	3.82482648	
2.140000	3.06871986	
2.160000	2.74431920	
2.180000	2.13916206	
2.200000	1.42369926	
2.220000	1.10979915	
2.240000	0.91878122	
2.260000	0.75264281	
2.280000	0.66609251	
2.300000	0.59081060	
2.320000	0.55275798	
2.340000	0.70005423	
2.360000	0.68266803	
2.380000	0.58252823	
2.400000	0.49915332	
2.420000	0.47184286	
2.440000	0.45351139	
2.460000	0.40836081	
2.480000	0.39605707	
2.500000	0.40094131	
2.520000	0.36219335	
2.540000	0.34994429	
2.560000	0.32976618	
2.580000	0.29913640	
2.600000	0.32638717	
2.620000	0.31970137	
2.640000	0.33808360	
2.660000	0.36664298	
2.680000	0.35318425	
2.700000	0.34254339	
2.720000	0.35952967	
2.740000	0.37092203	
2.760000	0.37147331	
2.780000	0.36652049	
2.800000	0.37342563	
2.820000	0.48682150	
2.840000	0.80303329	
2.860000	1.36353517	
2.880000	2.64707780	
2.900000	6.63738632	
2.920000	20.04010963	
2.940000	25.66360283	
2.960000	17.52078056	
2.980000	12.11399841	
3.000000	12.09823227	
3.020000	12.18445206	
3.040000	10.39025593	
3.060000	8.01617432	
3.080000	7.65223885	
3.100000	5.10665464	
3.120000	3.89775586	
3.140000	3.09910846	
3.160000	2.98851156	
3.180000	2.59705997	
3.200000	1.88868845	
3.220000	1.33708501	
3.240000	0.93550467	
3.260000	0.90389067	
3.280000	0.97658277	
3.300000	0.76846218	
3.320000	0.59401143	
3.340000	0.47486442	
3.360000	0.41729850	
3.380000	0.41275677	
3.400000	0.39555460	
3.420000	0.40465298	
3.440000	0.46697727	
3.460000	0.41726467	
3.480000	0.39030281	
3.500000	0.35674989	
3.520000	0.34368598	
3.540000	0.32290053	
3.560000	0.35855228	
3.580000	0.36299437	
3.600000	0.33612764	
3.620000	0.31695449	
3.640000	0.32049483	
3.660000	0.33285964	
3.680000	0.30932924	
3.700000	0.30916265	
3.720000	0.34555095	
3.740000	0.32338870	
3.760000	0.34222123	
3.780000	0.33549038	
3.800000	0.30948535	
3.820000	0.34156075	
3.840000	0.46865681	
3.860000	0.81658572	
3.880000	1.97088826	
3.900000	5.93258715	
3.920000	19.83156776	
3.940000	25.94663429	
3.960000	18.39230537	
3.980000	12.58372211	
4.000000	12.04113770	
4.020000	12.08857441	
4.040000	10.41835308	
4.060000	8.16868782	
4.080000	7.82191849	
4.100000	5.24655485	
4.120000	4.13454056	
4.140000	3.45581675	
4.160000	2.99156857	
4.180000	2.17709994	
4.200000	1.32338119	
4.220000	0.95654720	
4.240000	0.77340233	
4.260000	0.64786381	
4.280000	0.71426666	
4.300000	0.72387815	
4.320000	0.58361572	
4.340000	0.49489751	
4.360000	0.42753756	
4.380000	0.36590347	
4.400000	0.36906755	
4.420000	0.37217751	
4.440000	0.37687838	
4.460000	0.41614518	
4.480000	0.51412129	
4.500000	0.53169370	
4.520000	0.43671161	
4.540000	0.40585896	
4.560000	0.37913001	
4.580000	0.33665591	
4.600000	0.33980596	
4.620000	0.34971902	
4.640000	0.36374769	
4.660000	0.33701387	
4.680000	0.31803977	
4.700000	0.33199981	
4.720000	0.33064827	
4.740000	0.33089396	
4.760000	0.32413831	
4.780000	0.30613932	
4.800000	0.34656492	
4.820000	0.37379280	
4.840000	0.51582098	
4.860000	0.85600108	
4.880000	1.95539308	
4.900000	5.95184088	
4.920000	19.95081902	
4.940000	26.06280708	
4.960000	18.53694725	
4.980000	12.70093346	
5.000000	12.07840443	
5.020000	11.33199120	
5.040000	9.45143127	
5.060000	7.75032663	
5.080000	7.62532711	
5.100000	5.17937756	
5.120000	4.19771719	
5.140000	3.34306240	
5.160000	2.88518238	
5.180000	2.25238395	
5.200000	1.46410406	
5.220000	1.01862895	
5.240000	0.80357468	
5.260000	0.67245102	
5.280000	0.64753044	
5.300000	0.57641143	
5.320000	0.46528324	
5.340000	0.44367737	
5.360000	0.54411149	
5.380000	0.51208514	
5.400000	0.45512801	
5.420000	0.41895124	
5.440000	0.40974596	
5.460000	0.38738862	
5.480000	0.35911474	
5.500000	0.35859138	
5.520000	0.35657677	
5.540000	0.37932685	
5.560000	0.36762533	
5.580000	0.37247965	
5.600000	0.36296013	
5.620000	0.35521683	
5.640000	0.36099055	
5.660000	0.34561911	
5.680000	0.33642375	
5.700000	0.35100514	
5.720000	0.36414173	
5.740000	0.36193451	
5.760000	0.38539279	
5.780000	0.40613145	
5.800000	0.43444303	
5.820000	0.42430156	
5.840000	0.50821728	
5.860000	0.87717426	
5.880000	2.01101708	
5.900000	6.05383205	
5.920000	20.15476227	
5.940000	26.38338661	
5.960000	18.53145218	
5.980000	12.45415688	
6.000000	12.24718094	
6.020000	12.06448555	
6.040000	10.09407139	
6.060000	7.97481775	
6.080000	7.80521774	
6.100000	5.20883465	
6.120000	4.13691187	
6.140000	3.33911943	
6.160000	2.93133569	
6.180000	2.15711212	
6.200000	1.35428059	
6.220000	0.89216441	
6.240000	0.69133401	
6.260000	0.60105228	
6.280000	0.66604191	
6.300000	0.61395532	
6.320000	0.49249956	
6.340000	0.45085627	
6.360000	0.42214286	
6.380000	0.38047013	
6.400000	0.36351001	
6.420000	0.38487282	
6.440000	0.37129712	
6.460000	0.33616608	
6.480000	0.30031729	
6.500000	0.28385690	
6.520000	0.28394258	
6.540000	0.33497474	
6.560000	0.31797767	
6.580000	0.30992121	
6.600000	0.30080244	
6.620000	0.29909614	
6.640000	0.29423729	
6.660000	0.28566566	
6.680000	0.26777691	
6.700000	0.28101146	
6.720000	0.31591943	
6.740000	0.31719995	
6.760000	0.34228846	
6.780000	0.34003347	
6.800000	0.33124343	
6.820000	0.36122033	
6.840000	0.46782246	
6.860000	0.78323132	
6.880000	1.95564044	
6.900000	6.05694151	
6.920000	20.29498482	
6.940000	26.48334885	
6.960000	18.60959816	
6.980000	12.69427109	
7.000000	12.39473534	
7.020000	12.03472614	
7.040000	10.09943008	
